Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Georgia,Nov-18,All Residential,State,FALSE,GA,,9/12/21 15:00,,South Region,11/1/18,11/30/18,Georgia,21,Value,44305,-0.061871387,-0.009457163,0.976983959,-0.10%,0.10%,9650,-9.50%,-3.10%,33552,-4.20%,1.70%,43,3,-5,121,-0.012548665,0.080604532,245700,-0.015817634,0.071608777,118,0.003590897,0.072442073,$238K,0.90%,8.50%,3.5,0.2,0.2,9631,-23.50%,-2.20%,1,0.305020718,-0.040551349,-0.038956978,,7039,-16.60%,-4.40%,30,0.195577015,-0.044374995,0.034507665,-1,4,0.184974093,-0.011779519,0.0085626
Georgia,Feb-21,All Residential,State,FALSE,GA,,9/12/21 15:00,,South Region,2/1/21,2/28/21,Georgia,21,Value,28265,-0.016972142,-0.329879798,0.992452336,0.40%,1.40%,9482,8.40%,4.30%,15680,-6.70%,-48.50%,30,-2,-31,152,0.017140851,0.119421408,314500,0.048168428,0.112526495,142,0.038538217,0.13586559,$291K,3.10%,15.20%,1.7,-0.2,-1.6,11642,7.40%,-0.40%,1,0.575439739,0.091323997,0.160335855,,10232,13.00%,36.40%,30,0.122193878,-0.029871353,-0.047020204,-1,4,0.338852563,0.035891548,0.165532426
Hawaii,Feb-20,All Residential,State,FALSE,HI,,9/12/21 15:00,,West Region,2/1/20,2/29/20,Hawaii,25,Value,6999,0.00821089,-0.054827819,0.975669523,0.20%,0.50%,951,-10.30%,6.40%,5905,2.60%,-6.30%,94,4,1,523,-0.032630196,0.029633026,598600,0.007808893,-0.001169236,498,0.018768052,0.028667273,$589K,-0.40%,8.60%,6.2,0.8,-0.8,1371,-2.10%,-6.40%,1,0.175293813,0.047562721,0.027824729,,560,-5.70%,-7.00%,30,0.154784081,-0.010782284,-0.011750289,-1,4,0.140904311,0.02864016,0.010031828
Hawaii,Aug-20,All Residential,State,FALSE,HI,,9/12/21 15:00,,West Region,8/1/20,8/31/20,Hawaii,25,Value,7064,0.003551641,-0.079129188,0.976554491,0.10%,0.00%,1208,6.90%,-7.60%,5692,-0.50%,-7.20%,93,8,10,547,0.002662791,0.053936457,621800,-0.014360389,0.02370126,519,0.07012053,0.040077622,$613K,4.80%,8.70%,4.7,-0.4,0,1530,3.30%,3.20%,1,0.171935996,0.000430434,0.049839177,,782,7.70%,-6.30%,30,0.130358398,0.000288468,-0.05852687,-1,4,0.162251656,-0.017394362,0.027695081
Idaho,Mar-19,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,3/1/19,3/31/19,Idaho,27,Value,7510,0.085573865,-0.119164907,0.992742844,0.30%,0.10%,2083,24.30%,-0.30%,5026,1.90%,-21.30%,45,-11,-26,166,0.030217421,0.098739767,304000,0.05412566,0.107121113,158,-0.003255749,0.112867235,$281K,1.40%,9.00%,2.4,-0.5,-0.7,2661,28.30%,10.20%,1,0.5141918,0.002803966,0.081358938,,1839,36.50%,35.50%,30,0.130123359,0.014598429,0.065773899,-1,4,0.24099856,0.010091639,-0.029465777
Illinois,May-19,All Residential,State,FALSE,IL,,9/12/21 15:00,,Midwest Region,5/1/19,5/31/19,Illinois,29,Value,62004,0.04644569,0.041803885,0.975898861,0.20%,-0.10%,14839,21.40%,-0.90%,45130,6.40%,6.10%,32,-7,1,155,-0.015140902,0.013335814,265200,-0.02996381,0.018165658,149,0.007720446,0.015236757,$246K,2.80%,2.20%,3,-0.5,0.2,20317,-0.90%,-1.40%,1,0.42323143,-0.043342144,-0.021409242,,12802,2.20%,-2.90%,30,0.296432528,0.032599631,0.015474996,-1,4,0.203450367,0.013496179,-0.019595725
Kansas,Sep-19,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,9/1/19,9/30/19,Kansas,35,Value,4374,-0.040157999,-0.088939804,0.984936286,2.60%,3.70%,1173,-23.30%,3.10%,138,0.00%,-27.40%,31,4,-4,126,0.024548775,0.04634642,273800,0.047572046,0.051828864,122,-0.003999934,0.027746697,$252K,-4.30%,7.30%,0.1,0,-0.1,1401,-7.80%,3.70%,1,0.445722177,0.046365232,0.100224234,,30,-14.30%,-14.30%,30,0.101449275,-0.086956522,-0.066971777,-1,4,0.243243243,0.023243243,0.061425061
Louisiana,Jan-18,All Residential,State,FALSE,LA,,9/12/21 15:00,,South Region,1/1/18,1/31/18,Louisiana,39,Value,11726,0.020006959,0.061560746,0.962489861,-0.50%,0.20%,1638,-20.50%,-8.60%,9848,0.80%,8.80%,94,9,5,128,0.01944826,0.079416494,216500,0.037384617,0.100249046,117,-0.027306502,0.141534811,$196K,-5.50%,10.80%,6,1.3,1,2209,41.60%,-1.70%,1,0.267343448,0.055245371,-0.08628113,,1011,4.90%,-12.00%,30,0.188261576,0.062327307,0.004103379,-1,4,0.112332112,-0.001205006,-0.000328233
Massachusetts,Jun-18,All Residential,State,FALSE,MA,,9/12/21 15:00,,Northeast Region,6/1/18,6/30/18,Massachusetts,45,Value,24700,0.013000861,0.002801348,1.00600228,0.10%,0.20%,8828,37.20%,-3.20%,15576,4.50%,1.10%,13,-2,-2,271,-0.028191689,0.022681058,457900,-0.052329686,0.057550211,276,0.006688041,0.072056536,$467K,4.70%,7.70%,1.8,-0.5,0.1,9943,-16.90%,2.80%,1,0.575584808,-0.056479307,0.013838228,,8196,-4.80%,1.40%,30,0.312788906,0.033795617,0.016487803,-1,4,0.470661531,0.015423732,0.023974388
Massachusetts,Jun-19,All Residential,State,FALSE,MA,,9/12/21 15:00,,Northeast Region,6/1/19,6/30/19,Massachusetts,45,Value,25735,0,0.041902834,0.999720755,0.20%,-0.60%,8004,11.50%,-9.30%,18904,14.90%,21.40%,14,-2,1,286,-0.019520326,0.055118751,487200,-0.032858029,0.064040498,290,0.014588927,0.039761829,$481K,3.80%,2.90%,2.4,0.1,0.6,9448,-19.00%,-5.00%,1,0.492478517,-0.113927025,-0.083106291,,5895,-27.50%,-28.10%,30,0.279200169,-0.018417431,-0.033588737,-1,4,0.420789605,0.016249848,-0.049871926
Maryland,Sep-18,All Residential,State,FALSE,MD,,9/12/21 15:00,,South Region,9/1/18,9/30/18,Maryland,43,Value,29515,-0.027832675,-0.074416708,0.989138761,0.20%,0.30%,6581,-22.50%,-7.20%,22560,3.90%,-4.90%,34,4,-5,167,0.018056621,-0.004172358,308400,0.046183371,0.024473847,165,-0.012269076,0.039969921,$295K,-4.10%,5.40%,3.4,0.8,0.1,8060,-12.50%,-8.40%,1,0.333368384,-0.059952665,-0.078413999,,4938,-23.10%,-15.30%,30,0.328324468,-0.000708385,0.040947301,-1,4,0.237653852,-0.005020033,0.012784262
