Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
Columbia,Mar-20,All Residential,State,FALSE,DC,,9/12/21 15:00,,South Region,3/1/20,3/31/20,Columbia,17,Value,2629,0.065666802,0.011932256,1.000988887,0.40%,0.30%,837,22.90%,5.70%,1719,8.70%,6.60%,28,-7,-2,498,-0.011098204,0.051377812,649900,0.019610919,0.084974958,496,0.041801951,0.054118229,$610K,4.50%,7.00%,2.1,-0.2,0.1,1065,22.10%,-4.30%,1,0.489711934,0.002689033,-0.066963129,,729,11.30%,-8.20%,30,0.170447935,-0.027402887,-0.056458451,-1,4,0.3739546,0.025936979,0.011580862
Connecticut,Dec-18,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,12/1/18,12/31/18,Connecticut,13,Value,20547,-0.127441821,-0.061737979,0.969886385,-0.10%,0.50%,3519,-9.10%,-5.00%,15965,-13.50%,-0.90%,82,5,-11,135,-0.064323131,0.050274792,219900,-0.114453797,-0.017891741,137,-0.003962299,0.034424557,$255K,4.60%,4.40%,4.5,-0.3,0.2,2251,-32.40%,-4.10%,1,0.114339865,-0.001557154,0.007355745,,2002,-18.30%,-19.10%,30,0.128030066,-0.071482262,0.097177747,-1,4,0.198351804,0.006620538,0.021881216
Connecticut,Apr-19,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,4/1/19,4/30/19,Connecticut,13,Value,24818,0.110425056,-0.024372985,0.973281865,0.20%,0.20%,3723,14.20%,-1.70%,20130,11.50%,-2.50%,72,-18,-3,160,-9.36E-05,0.008582961,316800,-0.011743586,0.003865382,144,0.017216494,0.023715018,$249K,4.10%,-1.10%,5.4,-0.1,-0.1,7173,16.40%,-0.70%,1,0.200878489,-0.010013735,-0.004060654,,3011,29.60%,-2.90%,30,0.204222553,0.023789336,0.015049068,-1,4,0.226698899,0.01841669,0.022843604
Connecticut,Oct-19,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,10/1/19,10/31/19,Connecticut,13,Value,24808,-0.022652957,-0.041607108,0.971579005,0.20%,0.10%,4167,2.00%,1.20%,19411,-4.90%,-5.10%,72,0,-3,152,-0.036285692,0.012833259,270100,-0.088611946,0.010070754,146,-0.009496265,0.044779488,$250K,-2.90%,3.70%,4.7,-0.3,-0.3,4706,-10.90%,-2.10%,1,0.141835527,-0.012379955,0.002313414,,2937,6.10%,2.40%,30,0.260522384,-0.010869103,0.000828482,-1,4,0.217662587,-0.001975023,0.017322616
Delaware,Oct-19,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,10/1/19,10/31/19,Delaware,15,Value,3272,0.028930818,-0.077530307,0.981008456,-0.30%,0.20%,837,-0.90%,-2.00%,2268,-0.40%,-12.90%,43,8,5,129,-0.00438802,-0.011271197,235600,-0.015655169,0.038785312,128,0.007915913,0.009677423,$236K,-0.80%,7.30%,2.7,0,-0.3,1018,18.20%,-1.60%,1,0.409994621,0.045098257,0.04309015,,749,8.90%,12.00%,30,0.273809524,0.010304912,-0.088848947,-1,4,0.219832736,-0.006202767,0.043017748
Delaware,Jan-21,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,1/1/21,1/31/21,Delaware,15,Value,1814,-0.044257113,-0.284418146,0.993642512,0.00%,1.70%,815,-18.50%,33.00%,1000,-4.30%,-44.20%,28,6,-27,148,0.040683679,0.114333279,262600,0.001148212,0.070958542,145,0.009190359,0.136160775,$259K,-1.90%,13.80%,1.2,0.2,-1.7,776,15.80%,5.90%,1,0.52847342,0.088864434,0.13869614,,689,-6.50%,36.40%,30,0.155,-0.020119617,-0.048569437,-1,4,0.287116564,0.011116564,0.120721785
Delaware,Apr-21,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,4/1/21,4/30/21,Delaware,15,Value,2142,0.096774194,-0.122850123,0.99808939,0.10%,1.10%,902,11.10%,14.60%,1077,18.20%,-35.50%,14,-10,-16,155,0.01153219,0.140422545,282800,0.002101043,0.088457117,148,-0.009362402,0.128360371,$267K,3.00%,10.70%,1.2,0.1,-0.9,1235,19.10%,91.80%,1,0.64784853,0.007005378,0.259934778,,996,8.30%,56.90%,30,0.162488394,-0.01753356,0.018689712,-1,4,0.344789357,0.004887879,0.099554287
Georgia,May-21,All Residential,State,FALSE,GA,,9/12/21 15:00,,South Region,5/1/21,5/31/21,Georgia,21,Value,30876,-0.012757794,-0.31174071,1.007826987,0.40%,2.50%,13748,-0.10%,45.80%,16444,1.30%,-46.90%,15,-1,-24,157,0.005996849,0.157924176,330100,-0.007791354,0.135906858,155,0.023595049,0.239625292,$321K,3.10%,21.90%,1.2,0,-2.1,14749,-6.40%,14.50%,1,0.60263533,-0.000406961,0.22254555,,13196,-2.60%,29.10%,30,0.159693505,0.007207522,-0.046929011,-1,4,0.497817864,0.045142668,0.266771316
Hawaii,Jul-18,All Residential,State,FALSE,HI,,9/12/21 15:00,,West Region,7/1/18,7/31/18,Hawaii,25,Value,7361,0.017134172,0.024780732,0.97855977,0.00%,0.20%,1270,-10.10%,1.90%,6022,2.10%,2.40%,87,3,2,514,0.039244022,0.024493675,590900,-0.019375732,0.027078935,486,0.023457153,0.081276914,$577K,1.80%,9.10%,4.7,0.5,0,1607,11.80%,12.90%,1,0.120622891,-0.008300372,-0.058221755,,819,2.10%,0.60%,30,0.166722019,0.011245587,0.018227377,-1,4,0.171653543,0.000265441,-0.01133201
Idaho,Apr-18,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,4/1/18,4/30/18,Idaho,27,Value,8759,0.027328173,-0.011511116,0.992141672,0.00%,0.10%,2149,2.90%,8.00%,6614,3.60%,-2.90%,51,-20,-4,156,0.030852249,0.139721991,286300,0.042809772,0.159265846,146,0.022612823,0.126548649,$252K,-2.40%,15.90%,3.1,0,-0.3,2595,7.50%,0.70%,1,0.446255126,0.013422264,-0.050553898,,1645,21.20%,4.60%,30,0.064560024,0.000210564,,-1,4,0.289436947,0.01897261,0.022100264
Idaho,Feb-19,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,2/1/19,2/28/19,Idaho,27,Value,6919,-0.019832838,-0.119720102,0.989302318,0.20%,-0.20%,1676,13.00%,9.80%,4935,0.90%,-21.80%,56,-7,-32,162,0.004225696,0.075849088,288600,-0.016367464,0.092173494,158,0.039216747,0.144660762,$277K,2.80%,14.40%,2.9,-0.4,-1.2,2073,0.10%,20.50%,1,0.511634524,0.080393773,0.06737848,,1347,-2.20%,43.10%,30,0.11550152,-0.042199442,0.058141355,-1,4,0.230310263,0.038132245,-0.016579063
Indiana,Apr-19,All Residential,State,FALSE,IN,,9/12/21 15:00,,Midwest Region,4/1/19,4/30/19,Indiana,31,Value,11402,0.064612512,-0.033646919,0.978328189,0.30%,-0.30%,3686,9.70%,-1.50%,6932,4.50%,6.50%,24,-12,-9,97,0.01476508,0.051794547,205600,0.005401801,0.060408005,93,0.010514025,0.057163468,$188K,2.70%,4.90%,1.9,-0.1,0.2,4837,17.10%,1.00%,1,0.592672021,0.005036258,0.091446471,,3668,18.60%,-16.50%,30,0.277264859,0.051507054,0.038862401,-1,4,0.189093869,0.032201937,-0.035712333
Iowa,Jun-19,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,6/1/19,6/30/19,Iowa,33,Value,5505,-0.009535804,-0.025836135,0.985363059,0.10%,-0.20%,1619,4.30%,-3.30%,3991,1.50%,-0.60%,32,-4,-2,144,-0.01062379,0.023988626,208500,-0.015797448,0.029362373,145,0.01136357,0.01654136,$217K,7.50%,7.20%,2.5,0,0.1,1664,-15.70%,-7.60%,1,0.435655833,-0.034463068,-0.032479267,,1211,-5.00%,-3.70%,30,0.237785016,0.01932113,0.038880361,-1,4,0.227300803,0.012738947,-0.041355913
Iowa,Feb-20,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,2/1/20,2/29/20,Iowa,33,Value,4743,0.028627196,0.088842975,0.974043779,-0.40%,-0.50%,841,0.00%,13.30%,3537,0.30%,3.10%,77,12,13,149,-0.049218596,0.020987123,221100,-0.029105897,0.028538859,138,-0.031568744,0.001869318,$189K,-4.40%,-2.50%,4.2,0,-0.4,1250,14.10%,31.20%,1,0.436417323,0.069799125,-0.028993594,,729,13.40%,30.20%,30,0.164546226,0.002414706,0.058454707,-1,4,0.191438763,0.009512485,0.021627443
Kansas,Nov-19,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,11/1/19,11/30/19,Kansas,35,Value,3889,-0.097889121,-0.075148633,0.961352488,0.40%,-1.20%,1047,-16.00%,-8.80%,135,0.70%,-18.70%,34,4,-3,126,0.033436265,0.067322814,265000,0.044438829,0.100586805,119,0.000581889,0.020946445,$262K,1.10%,6.50%,0.1,0,0,943,-25.10%,-0.60%,1,0.334987631,-0.052384606,0.007305326,,27,-3.60%,3.80%,30,0.088888889,-0.142454395,-0.109906292,-1,4,0.176470588,-0.156862745,-0.085434174
Kansas,Mar-20,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,3/1/20,3/31/20,Kansas,35,Value,3745,0.098562628,-0.092121212,0.983638935,2.70%,1.40%,1159,41.90%,10.90%,131,1.60%,-4.40%,32,-15,-6,129,-0.023590794,0.031404259,281200,-0.058815207,0.018990477,129,0.057628921,0.087047259,$282K,10.00%,12.10%,0.1,-0.1,0,1527,27.60%,-5.60%,1,0.605549032,0.037371915,0.028700751,,31,24.00%,10.70%,30,0.122137405,-0.001893603,-0.016548727,-1,4,0.2,0.128571429,0.151219512
Kansas,Aug-20,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,8/1/20,8/31/20,Kansas,35,Value,3622,-0.037214248,-0.205178846,0.975017852,1.60%,1.60%,1578,-11.00%,3.10%,69,-20.70%,-50.00%,18,0,-9,138,0.024732341,0.126664473,294200,0.022456482,0.125915329,134,-0.011188942,0.093953731,$299K,-0.30%,13.30%,0,0,-0.1,1553,-9.50%,2.20%,1,0.593997068,-0.015379479,0.194640123,,42,0.00%,20.00%,30,0.391304348,0.126936532,0.202898551,-1,4,0.191489362,0.053558327,-0.028510638
Kansas,Apr-21,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,4/1/21,4/30/21,Kansas,35,Value,3134,0.08668516,-0.108138873,0.989543061,1.20%,0.90%,1307,20.30%,10.10%,62,34.80%,-45.60%,13,-4,-8,148,0.018600444,0.113926838,317400,0.001303442,0.137950683,150,0.023108852,0.146349758,$321K,1.10%,14.70%,0,0,-0.1,1799,9.60%,50.20%,1,0.665221073,-0.0201079,0.121937378,,52,-1.90%,48.60%,30,0.274193548,-0.030154278,0.107526882,-1,4,0.450980392,0.087344029,0.147950089
Colorado,Jul-19,All Residential,State,FALSE,CO,,9/12/21 15:00,,West Region,7/1/19,7/31/19,Colorado,11,Value,28804,-0.00538674,0.095709069,0.992524143,-0.30%,-0.60%,7933,2.40%,6.60%,18676,-0.40%,12.30%,22,2,3,199,0.003564385,0.054185064,404900,-0.025772805,0.043308307,170,0.005827573,0.048714597,$423K,-0.50%,3.60%,2.4,0,0.2,10209,-12.40%,1.80%,1,0.396632993,-0.078019953,-0.054041874,,8810,-2.70%,2.50%,30,0.369404583,0.03914697,0.052744931,-1,4,0.264338838,-0.036254864,-0.103990239
Connecticut,Jun-21,All Residential,State,FALSE,CT,,9/12/21 15:00,,Northeast Region,6/1/21,6/30/21,Connecticut,13,Value,19685,0.051998717,-0.103801502,1.026847634,0.80%,4.70%,6242,31.80%,43.00%,12648,0.50%,-21.80%,44,0,-23,187,-0.018094467,0.052287682,340500,-0.054957439,-0.050137366,192,0.047627924,0.242242677,$377K,10.00%,24.20%,2,-0.7,-1.7,7183,1.50%,0.10%,1,0.267970552,0.007771331,0.041291841,,6223,15.40%,63.50%,30,0.146742568,0.034783887,-0.011337709,-1,4,0.622076258,0.057556722,0.348536739
Columbia,May-20,All Residential,State,FALSE,DC,,9/12/21 15:00,,South Region,5/1/20,5/31/20,Columbia,17,Value,2697,0.108052588,-0.095573441,0.994304726,-0.80%,-0.60%,598,-2.90%,-40.50%,1877,6.60%,0.20%,30,5,9,522,0.05752429,0.064066806,674400,0.088602282,0.133635905,485,0.012178932,0.023861412,$654K,5.60%,9.90%,3.1,0.2,1.2,951,30.10%,-26.70%,1,0.416666667,0.038728149,-0.100187266,,684,23.70%,-30.10%,30,0.199786894,0.037379171,-0.070223778,-1,4,0.277591973,-0.118511923,-0.103502554
Delaware,Mar-19,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,3/1/19,3/31/19,Delaware,15,Value,3272,0.100942127,-0.092371706,0.978830873,0.80%,-0.40%,733,22.60%,-6.00%,2345,6.50%,-8.40%,59,-3,2,131,0.02412792,-0.011075238,245700,0.080445826,0.049234261,124,-0.013818715,0.005078763,$220K,-1.10%,3.80%,3.2,-0.5,-0.1,1108,43.20%,3.20%,1,0.51308125,0.056155951,0.034958418,,660,40.40%,-3.80%,30,0.204690832,0.00023831,-0.023914092,-1,4,0.192360164,0.03851401,-0.023024452
Delaware,Apr-19,All Residential,State,FALSE,DE,,9/12/21 15:00,,South Region,4/1/19,4/30/19,Delaware,15,Value,3483,0.064486553,-0.065718884,0.9800768,0.10%,0.00%,848,15.70%,7.90%,2449,4.40%,-6.80%,44,-15,10,129,-0.017734805,-0.022097683,247200,0.00645537,0.004890616,127,0.022014705,0.006276691,$222K,1.00%,7.20%,2.9,-0.3,-0.4,1176,6.10%,-3.80%,1,0.469108542,-0.043972708,0.016123482,,772,17.00%,-9.00%,30,0.249489588,0.044798756,0.028705423,-1,4,0.188679245,-0.003680918,-0.026333477
Florida,Apr-20,All Residential,State,FALSE,FL,,9/12/21 15:00,,South Region,4/1/20,4/30/20,Florida,19,Value,154748,-0.082327686,-0.149193992,0.971670927,0.20%,0.50%,27314,-24.50%,-28.00%,124132,-4.10%,-9.50%,49,-6,-9,167,-0.028948206,0.008201726,278500,-0.021420366,0.008020781,160,-0.013300525,0.036992078,$272K,0.00%,7.40%,4.5,0.9,0.9,27697,-35.70%,-35.70%,1,0.269182393,-0.072368438,-0.037617476,,20290,-21.70%,-30.40%,30,0.141268972,-0.058395613,-0.090575561,-1,4,0.132825657,0.011580044,0.024712564
Florida,May-21,All Residential,State,FALSE,FL,,9/12/21 15:00,,South Region,5/1/21,5/31/21,Florida,19,Value,111757,-0.025946973,-0.293718757,0.989981829,0.40%,2.10%,45771,-8.10%,89.40%,64346,-1.70%,-46.40%,28,-3,-25,213,0.018612622,0.200373665,350100,0.014174463,0.171799728,200,0.016391594,0.2674177,$332K,1.70%,23.20%,1.4,0.1,-3.6,46998,-3.10%,29.20%,1,0.526201691,0.003522681,0.206438669,,40795,-1.60%,63.60%,30,0.137724179,0.001339019,-0.033000824,-1,4,0.316313823,0.047800698,0.188438596
Georgia,Aug-21,All Residential,State,FALSE,GA,,9/12/21 15:00,,South Region,8/1/21,8/31/21,Georgia,21,Value,32544,-0.008681349,-0.196484124,1.007508653,-0.30%,2.10%,13850,-5.10%,1.50%,17363,-4.60%,-31.50%,15,0,-20,162,0.003906489,0.143827279,327300,-0.013571668,0.114414895,158,0.004961188,0.201803863,$325K,-1.20%,13.50%,1.3,0.1,-0.6,14449,-8.00%,5.70%,1,0.553874653,-0.025032038,0.106089492,,13871,3.10%,19.50%,30,0.266371019,0.027388713,0.068991692,-1,4,0.488736462,-0.020790611,0.23073104
Hawaii,Feb-18,All Residential,State,FALSE,HI,,9/12/21 15:00,,West Region,2/1/18,2/28/18,Hawaii,25,Value,6860,0.027407518,0.015243451,0.973010148,-0.30%,0.10%,1007,-3.70%,7.40%,5765,3.30%,0.40%,92,-13,-7,501,-0.053413565,0.016472825,575900,0.008332966,0.00166425,481,0.00769294,0.051966462,$528K,-2.60%,5.50%,5.7,0.4,-0.4,1411,-6.40%,7.30%,1,0.196667,0.008416845,-0.03723109,,624,2.10%,2.60%,30,0.148655681,0.000653531,0.011547667,-1,4,0.171797418,-0.006978873,-0.026496825
Hawaii,Feb-21,All Residential,State,FALSE,HI,,9/12/21 15:00,,West Region,2/1/21,2/28/21,Hawaii,25,Value,6009,-0.008742989,-0.141448778,0.984152996,0.00%,0.80%,1255,6.60%,32.00%,4655,-2.80%,-21.20%,78,-6,-16,593,0.045518534,0.135427037,651100,0.028821682,0.087690132,540,0.026405911,0.069675095,$645K,3.00%,9.50%,3.7,-0.4,-2.5,1351,-2.00%,-1.50%,1,0.230196485,0.021367651,0.054902672,,838,8.80%,49.60%,30,0.088506982,-0.023786903,-0.0662771,-1,4,0.239840637,-0.021841606,0.098936326
Iowa,Sep-18,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,9/1/18,9/30/18,Iowa,33,Value,5384,-0.032002877,-0.199524234,0.982361525,-0.30%,-0.20%,1119,-26.60%,-16.70%,4161,1.40%,-20.90%,38,5,-30,140,-0.021186684,0.02253946,191800,-0.046123586,0.013535507,144,0.066526372,0.120717759,$194K,-3.00%,6.00%,3.7,1,-0.2,1355,-17.00%,-2.90%,1,0.426990926,-0.001300065,0.370315716,,900,-17.70%,-6.70%,30,0.221821677,0.013630551,0.215741495,-1,4,0.249329759,0.024264142,-0.012770018
Iowa,May-20,All Residential,State,FALSE,IA,,9/12/21 15:00,,Midwest Region,5/1/20,5/31/20,Iowa,33,Value,5323,0.031389266,-0.042281396,0.986133049,0.10%,0.20%,1369,9.20%,-11.80%,3531,-3.20%,-10.20%,36,-7,0,156,-0.005067689,0.072287177,230000,0.039303411,0.085576211,151,0.020772196,0.048291298,$218K,4.50%,7.80%,2.6,-0.3,0.1,1748,17.90%,-11.50%,1,0.48169453,-0.000542791,0.01157563,,1375,22.40%,7.80%,30,0.164825828,0.004924567,-0.053638058,-1,4,0.233016801,0.008933866,0.018454945
Idaho,Apr-19,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,4/1/19,4/30/19,Idaho,27,Value,8330,0.108892439,-0.049629207,0.993608224,0.10%,0.10%,2416,15.90%,12.30%,5452,8.50%,-17.60%,38,-9,-13,168,0.007899738,0.07451102,311600,0.025168495,0.088620956,161,0.013708289,0.103588344,$285K,1.50%,13.40%,2.3,-0.1,-0.8,3372,26.70%,29.90%,1,0.549916741,0.035724941,0.103833516,,2344,27.50%,42.50%,30,0.147101981,0.017004507,0.082580978,-1,4,0.256208609,0.015441223,-0.03295922
Idaho,Mar-21,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,3/1/21,3/31/21,Idaho,27,Value,4769,0.156121212,-0.37034592,1.021103042,0.60%,2.60%,2210,41.10%,-6.90%,2297,1.20%,-55.90%,16,-8,-25,246,0.039464569,0.330939717,448500,0.041422375,0.347060357,236,0.055868552,0.338934045,$412K,5.30%,31.50%,1,-0.4,-1.2,2533,33.90%,-11.30%,1,0.759642269,0.020485052,0.153782679,,2189,39.90%,21.00%,30,0.141488899,0.074499035,0.012004916,-1,4,0.46199095,0.037980733,0.19566141
Idaho,Apr-21,All Residential,State,FALSE,ID,,9/12/21 15:00,,West Region,4/1/21,4/30/21,Idaho,27,Value,5041,0.052181173,-0.323990881,1.021867153,0.10%,2.80%,2341,5.80%,6.70%,2538,9.50%,-53.00%,13,-4,-19,256,0.041766725,0.368833788,454900,0.015170062,0.355289142,238,0.026609386,0.345998294,$427K,3.80%,36.70%,1.1,0.1,-1.4,2739,7.70%,18.60%,1,0.706701992,-0.050250749,0.196714023,,2272,3.70%,38.50%,30,0.163120567,0.022482086,-0.002034034,-1,4,0.490815891,0.028790574,0.210050166
Kansas,Feb-21,All Residential,State,FALSE,KS,,9/12/21 15:00,,Midwest Region,2/1/21,2/28/21,Kansas,35,Value,2325,-0.049079755,-0.317981813,0.951643151,0.80%,-0.50%,841,-7.30%,2.90%,57,-3.40%,-55.80%,20,-3,-27,147,0.00235165,0.116477288,330400,0.089770044,0.106027687,145,0.043002394,0.174873467,$293K,1.50%,14.60%,0.1,0,-0.1,1008,-5.40%,-15.80%,1,0.639111227,0.039750909,0.070934109,,30,15.40%,20.00%,30,0.175438596,-0.095747844,0.051407589,-1,4,0.153846154,0,0.082417582
Kentucky,Apr-18,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,4/1/18,4/30/18,Kentucky,37,Value,11229,0.044072524,-0.07313248,0.97490788,0.00%,-0.20%,3154,8.40%,5.60%,7687,5.70%,-9.50%,34,-12,-4,107,0.013662658,0.043467805,194000,0.011228716,0.0661322,101,0.010499074,0.050532191,$180K,5.10%,8.50%,2.4,-0.1,-0.4,4066,5.70%,2.40%,1,0.458237857,-0.014355568,-0.014776093,,2786,9.30%,-2.90%,30,0.158839599,0.012035476,0.010700174,-1,4,0.207989854,0.0244847,0.024528187
Kentucky,Mar-20,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,3/1/20,3/31/20,Kentucky,37,Value,9777,0.038669925,-0.134242451,0.975902187,0.60%,0.20%,3023,28.60%,3.40%,6340,1.80%,-18.60%,33,-13,-17,118,0.000444807,0.057277677,212600,0.046586502,0.039660268,115,0.053367566,0.086299627,$194K,4.70%,10.60%,2.1,-0.5,-0.6,3652,24.00%,-6.90%,1,0.576112184,0.041641547,0.137001271,,2657,17.60%,4.20%,30,0.179968454,-0.000959464,0.027247715,-1,4,0.181276877,0.037508268,0.012330229
Kentucky,Dec-20,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,12/1/20,12/31/20,Kentucky,37,Value,7219,-0.108985436,-0.239705108,0.9826946,-0.20%,1.10%,3403,2.50%,23.30%,4268,-11.10%,-37.50%,20,0,-17,124,0.00643905,0.141529422,204700,-0.016231796,0.132621786,122,0.001886817,0.120123519,$210K,-2.60%,10.40%,1.3,-0.1,-1.2,2453,-15.50%,33.00%,1,0.47484965,-0.015084136,0.150941595,,2454,-14.20%,42.90%,30,0.170805998,-0.052434318,0.031884544,-1,4,0.237143697,-0.020007764,0.092993027
Kentucky,Feb-21,All Residential,State,FALSE,KY,,9/12/21 15:00,,South Region,2/1/21,2/28/21,Kentucky,37,Value,6204,-0.099695255,-0.339648749,0.982615649,0.50%,1.30%,2482,0.90%,5.60%,3452,-9.20%,-44.40%,27,1,-19,131,0.020496126,0.106993252,223900,0.045185928,0.101773844,125,0.015820008,0.145633055,$207K,1.40%,11.50%,1.4,-0.1,-1.2,2433,-9.60%,-17.40%,1,0.591098361,0.064377563,0.056446241,,2253,-12.60%,-0.30%,30,0.151506373,-0.031507037,-0.029726526,-1,4,0.233682514,0.031732087,0.090278259
Louisiana,Feb-18,All Residential,State,FALSE,LA,,9/12/21 15:00,,South Region,2/1/18,2/28/18,Louisiana,39,Value,11991,0.023559539,0.104347025,0.967482979,0.50%,0.30%,1761,7.60%,-4.50%,10116,2.80%,12.60%,93,-1,4,127,-0.001445668,0.054405396,218200,0.007970465,0.080588715,123,0.054872811,0.120743254,$206K,5.20%,12.90%,5.7,-0.3,0.8,2435,10.20%,15.00%,1,0.329880289,0.062536841,-0.063312751,,1068,5.60%,-6.60%,30,0.178529063,-0.009396539,0.032936899,-1,4,0.11641113,0.004010397,-0.021875204
Maryland,Oct-19,All Residential,State,FALSE,MD,,9/12/21 15:00,,South Region,10/1/19,10/31/19,Maryland,43,Value,30728,-0.002208079,0.007244239,0.991127954,0.30%,0.30%,7162,-0.50%,3.30%,21992,-3.30%,-1.70%,44,2,-3,165,-0.005802532,0.015904715,309400,-0.024110966,0.042992385,160,0.006597105,-0.002836612,$306K,-1.30%,5.50%,3.1,-0.1,-0.1,8267,-5.30%,1.10%,1,0.321842867,-0.024585451,0.049555621,,6223,7.50%,9.30%,30,0.306747908,0.017238342,-0.089141278,-1,4,0.239877129,0.009332382,0.001781891
Maine,Oct-19,All Residential,State,FALSE,ME,,9/12/21 15:00,,Northeast Region,10/1/19,10/31/19,Maine,41,Value,8841,-0.061464968,-0.096843396,0.968630779,-0.10%,0.30%,1991,-0.50%,3.40%,6745,-7.20%,-10.60%,38,7,-3,146,-0.01157491,0.038584934,237000,-0.008301025,0.060982979,142,-0.021318315,0.019531541,$224K,-3.10%,3.90%,3.4,-0.2,-0.5,1751,-15.80%,-12.50%,1,0.383885955,-0.026128099,0.050858523,,1355,-13.50%,-8.60%,30,0.25915493,-0.018936117,-0.010427575,-1,4,0.217478654,-0.013905654,0.02319294
Missouri,Mar-19,All Residential,State,FALSE,MO,,9/12/21 15:00,,Midwest Region,3/1/19,3/31/19,Missouri,2,Value,18843,0.12562724,-0.101473463,0.974826195,0.80%,0.20%,4531,26.80%,-10.90%,9330,7.70%,-12.00%,48,-12,-5,121,0.014358516,0.016769254,196800,0.008306913,0.039792163,114,0.043211602,0.022888552,$179K,7.30%,5.30%,2.1,-0.3,0,6464,40.00%,-8.20%,1,0.488542278,0.026471459,0.140488512,,349,48.50%,5.10%,30,0.192818864,0.02015035,-0.006765924,-1,4,0.211918313,0.034628317,0.002117394
Missouri,Jun-19,All Residential,State,FALSE,MO,,9/12/21 15:00,,Midwest Region,6/1/19,6/30/19,Missouri,2,Value,21716,-0.006723688,-0.113198301,0.985121406,0.30%,0.40%,6374,-2.60%,-4.90%,10614,2.70%,-14.40%,29,-4,-13,120,-0.02716103,0.004677554,192100,-0.055919916,0.032800753,124,0.026678451,0.037089912,$205K,4.90%,7.70%,1.7,0.1,-0.2,7184,-9.40%,-9.40%,1,0.406054284,-0.034856496,0.14499114,,559,-0.40%,15.50%,30,0.25862069,0.000659214,0.009003662,-1,4,0.28156505,0.009810746,0.017431381
Mississippi,Apr-18,All Residential,State,FALSE,MS,,9/12/21 15:00,,South Region,4/1/18,4/30/18,Mississippi,51,Value,78,-0.161290323,-0.404580153,0.977614107,0.60%,1.00%,16,-5.90%,-46.70%,57,-12.30%,-32.90%,35,0,-42,97,-0.032962235,0.073561429,289300,0.118955513,0.786045076,96,0.109354839,0.075592446,$172K,4.80%,-7.40%,3.6,-0.2,0.8,14,-41.70%,-50.00%,1,0.333333333,0.072463768,0.022988506,,12,-47.80%,-58.60%,30,0.192982456,0.085290148,0.004747162,-1,4,0.1875,0.128676471,0.054166667
Nebraska,Dec-19,All Residential,State,FALSE,NE,,9/12/21 15:00,,Midwest Region,12/1/19,12/31/19,Nebraska,6,Value,3615,-0.151209204,-0.062013492,0.983705946,0.10%,0.30%,1458,-1.40%,18.00%,2454,-12.00%,-9.80%,26,3,1,112,-0.007080026,0.040079323,194900,-0.021684363,0.06722839,108,-0.007973696,0.057509971,$205K,-0.30%,8.30%,1.7,-0.2,-0.5,838,-28.90%,28.30%,1,0.387159176,-0.036742394,0.010678306,,882,-26.70%,7.30%,30,0.15607172,-0.074918237,0.067101131,-1,4,0.237997257,-0.015552439,-0.002294006
